geometry,bench,bin,bus,highway,name_left,network,operator,public_transport,ref_left,shelter,source_left,old_name_left,old_name:es,lit,tactile_paving,check_date:shelter,name:ca_left,old_name:ca,wheelchair,check_date:bench,departures_board,kerb,kerb:approach_aid,passenger_information_display,covered,wikidata_left,wikipedia_left,network:wikidata,addr:city,addr:housenumber,addr:postcode,addr:street,lines,name:es_left,direction,network:wikipedia,local_ref,check_date,description,name:en,fixme,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type,wikidata_right,wikipedia_right,ref_right,alt_name,old_name_right,alt_name:ca
POINT (-0.3579151 39.4803423),no,,yes,bus_stop,Primat Reig - Camí Vera,EMT,Empresa Municipal de Transportes de Valencia,platform,192,no,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3620823 39.4851243),yes,yes,yes,bus_stop,Benimaclet,EMT,Empresa Municipal de Transportes de Valencia,platform,177,yes,www.emtvalencia.es,Emili Baró - Reverend Rafael Tramoyeres,,yes,no,,Benimaclet,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3605739 39.4882234),,,yes,bus_stop,Emili Baró - Francesc Martínez,EMT,Empresa Municipal de Transportes de Valencia,platform,179,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3613887 39.4865886),,,yes,bus_stop,Emili Baró - Manuel Castellanos,EMT,Empresa Municipal de Transportes de Valencia,platform,178,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3660655 39.4860509),yes,yes,yes,bus_stop,Primat Reig - Calderón de la Barca,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,216,yes,www.emtvalencia.es,,,yes,yes,2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3678907 39.4869938),,,yes,bus_stop,Primat Reig,EMT,Empresa Municipal de Transportes de Valencia,platform,215,yes,www.emtvalencia.es,Alboraia - Primat Reig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3571116 39.4858179),yes,no,yes,bus_stop,Germans Villalonga - Enric Navarro,EMT,Empresa Municipal de Transportes de Valencia,platform,965,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3575735 39.4839972),,,yes,bus_stop,Vicent Zaragozà,EMT,Empresa Municipal de Transportes de Valencia,platform,966,,www.emtvalencia.es,Germans Villalonga - Dr. Vicent Zaragozà,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3592238 39.4817398),,,yes,bus_stop,Ramón Asensio - Guàrdia Civil,EMT,Empresa Municipal de Transportes de Valencia,platform,967,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3586146 39.4831914),yes,no,yes,bus_stop,Centre de Salut Benimaclet,EMT,Empresa Municipal de Transportes de Valencia,platform,985,yes,www.emtvalencia.es,Jaume Esteve Cubells - Dr. Vicent Zaragozà,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3578467 39.4859324),yes,no,yes,bus_stop,Mistral - Murta,EMT,Empresa Municipal de Transportes de Valencia,platform,987,yes,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3592175 39.4820113),,,yes,bus_stop,Tírig - Guàrdia Civil,EMT,Empresa Municipal de Transportes de Valencia,platform,1032,,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3570256 39.4869827),no,yes,yes,bus_stop,Lliri Blau - Mestre Ventura Pascual,EMT,Empresa Municipal de Transportes de Valencia,platform,1240,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3628859 39.4866656),no,no,yes,bus_stop,Dolores Marqués - Reverend José María Pinazo,EMT,Empresa Municipal de Transportes de Valencia,platform,1232,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3620715 39.4882477),yes,yes,yes,bus_stop,Dolores Marqués - Assagador d'Alboraia,EMT,Empresa Municipal de Transportes de Valencia,platform,1233,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3634372 39.4856226),yes,yes,yes,bus_stop,Dolores Marqués - Benicarló,EMT,Empresa Municipal de Transportes de Valencia,platform,1231,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3656403 39.4860766),yes,no,yes,bus_stop,Primat Reig - Viver,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,1680,yes,www.emtvalencia.es,,,yes,no,2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3604885 39.4822577),,,yes,bus_stop,Primat Reig - Cuenca Tramoyeres,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,1679,,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.352429 39.4812916),yes,no,yes,bus_stop,Direcció General de Salut Pública,EMT;Metrobus,Empresa Municipal de Transportes de Valencia;AVSA,platform,1901,yes,www.emtvalencia.es,Catalunya - Vicent Zaragozà,Cataluña - Vicente Zaragozá,yes,no,,,,,,,,,,,,,,,,,,,,,,,2022-12-01,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3543119 39.4797389),no,yes,yes,bus_stop,Catalunya - Guardia Civil,EMT,Empresa Municipal de Transportes de Valencia,platform,1902,no,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3564978 39.479265),,,yes,bus_stop,"Av. Primado Reig, 189",MetroBus,AVSA,platform,,,,,,,,,,,,,,,,,,,,Q5712403,,,,,,,,,,,,,,relation,14232003.0,10,administrative,,Benimaclet,Benimaclet,,boundary,Q5725768,ca:Benimaclet (barri de València),,,,
POINT (-0.3829748 39.4801031),yes,no,yes,bus_stop,IVAM,EMT,Empresa Municipal de Transportes de Valencia,platform,796,yes,www.emtvalencia.es,Guillem de Castro - Na Jordana,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3837042 39.4777834),yes,yes,yes,bus_stop,La Bene,EMT,Empresa Municipal de Transportes de Valencia,platform,795,yes,www.emtvalencia.es,Guillem de Castro - Corona,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3778413 39.480398),no,no,yes,bus_stop,Blanqueria - Pare d'Òrfens,EMT,Empresa Municipal de Transportes de Valencia,platform,1959,no,www.emtvalencia.es,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3810335 39.4810776),,,yes,bus_stop,Na Jordana,EMT,Empresa Municipal de Transportes de Valencia,platform,1305,yes,www.emtvalencia.es,Guillem de Castro - Llíria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14304839.0,10,administrative,,el Carme,el Carme,El Carmen,boundary,Q5398029,ca:El Carme (barri de València),1.3. el Carme,,,
POINT (-0.3721693 39.4731587),no,no,yes,bus_stop,Carrer de la Pau,EMT,Empresa Municipal de Transportes de Valencia,platform,2227,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3699158 39.4740036),yes,,yes,bus_stop,Tetuan,EMT,Empresa Municipal de Transportes de Valencia,platform,2223,yes,www.emtvalencia.es,,,,,2022-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3694688 39.4721873),no,,yes,bus_stop,Palau de Justícia,EMT,Empresa Municipal de Transportes de Valencia,platform,2256,no,www.emtvalencia.es,Porta de la Mar (par) - Palau de Justícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3697291 39.4737678),yes,yes,yes,bus_stop,Tetuan,EMT,Empresa Municipal de Transportes de Valencia,platform,2223,yes,www.emtvalencia.es,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3693201 39.4732081),,,yes,bus_stop,Porta de la Mar,EMT,Empresa Municipal de Transportes de Valencia,platform,2254,yes,www.emtvalencia.es,Porta de la Mar - General Palancia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3683766 39.4723841),yes,no,yes,bus_stop,Porta de la Mar,EMT,Empresa Municipal de Transportes de Valencia,platform,2253,yes,www.emtvalencia.es,Porta de la Mar - Plaça,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3688923 39.4721263),yes,no,yes,bus_stop,Porta de la Mar,EMT,Empresa Municipal de Transportes de Valencia,platform,2255,yes,www.emtvalencia.es,Porta de la Mar - Glorieta,Puerta del Mar - Glorieta,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305095.0,10,administrative,,la Xerea,la Xerea,,boundary,Q9019062,ca:La Xerea,1.2. la Xerea,,,
POINT (-0.3712207 39.4769311),,,yes,bus_stop,Plaça del Temple,EMT,Empresa Municipal de Transportes de Valencia,platform,773,yes,www.emtvalencia.es,Poeta Llorente - Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.375188 39.4790561),yes,yes,yes,bus_stop,Torres dels Serrans,EMT;Transport Públic Generalitat Valenciana,Empresa Municipal de Transportes de Valencia;Monbus,platform,771,yes,www.emtvalencia.es,Torres dels Serrans - Comte de Trénor,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3743772 39.4787264),yes,no,yes,bus_stop,Les Corts,EMT,Empresa Municipal de Transportes de Valencia,platform,2032,yes,www.emtvalencia.es,Comte de Trénor - Pont de Fusta,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305096.0,10,administrative,,la Seu,la Seu,La Sede,boundary,Q9018963,ca:La Seu (barri de València),1.3. la Seu,,,
POINT (-0.3797861 39.4714563),yes,,yes,bus_stop,Biblioteca Pública,EMT,Empresa Municipal de Transportes de Valencia,platform,2290,yes,www.emtvalencia.es,Av. de l'Oest - Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3838546 39.4739158),yes,,yes,bus_stop,Encarnació - Guillem de Castro,EMT,Empresa Municipal de Transportes de Valencia,platform,792,yes,www.emtvalencia.es,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3839652 39.4749852),yes,,yes,bus_stop,Torres de Quart,EMT,Empresa Municipal de Transportes de Valencia,platform,793,yes,www.emtvalencia.es,Guillem de Castro - Torres de Quart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3835759 39.4708953),yes,,yes,bus_stop,Guillem de Castro - Comissaria de Policia,EMT,Empresa Municipal de Transportes de Valencia,platform,1766,yes,www.emtvalencia.es,Guillem de Castro - Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3798216 39.4721371),yes,yes,yes,bus_stop,Roger der Flor,,,platform,,yes,,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.3798222 39.4721202),yes,yes,yes,bus_stop,Av. de l'Oest - Roger de Flor,EMT,Empresa Municipal de Transportes de Valencia,platform,2289,yes,www.emtvalencia.es,,,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305600.0,10,administrative,,el Pilar,el Pilar,,boundary,Q8773296,ca:Velluters,1.4. el Pilar,Velluters,,
POINT (-0.37436 39.4732885),,,yes,bus_stop,Marqués de Dosaigües,EMT,Empresa Municipal de Transportes de Valencia,platform,2316,,www.emtvalencia.es,Marqués de Dosaigües - Pau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3739322 39.4684916),no,,yes,bus_stop,Pascual i Genís - Roger de Llòria,EMT,Empresa Municipal de Transportes de Valencia,platform,2317,no,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3770494 39.4685784),yes,no,yes,bus_stop,Institut Lluís Vives,EMT,Empresa Municipal de Transportes de Valencia,platform,2313,yes,www.emtvalencia.es,Marqués de Sotelo - Periodista Azzati,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3801891 39.4701389),no,no,yes,bus_stop,MuVIM,EMT,Empresa Municipal de Transportes de Valencia,platform,2318,no,www.emtvalencia.es,Quevedo - Av. de l'Oest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3709568 39.4699499),yes,,yes,bus_stop,Colón,EMT,Empresa Municipal de Transportes de Valencia,platform,2259,yes,www.emtvalencia.es,Colón - els Pinazo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3764674 39.4675077),,,yes,bus_stop,Estació del Nord,EMT,Empresa Municipal de Transportes de Valencia,platform,2261,yes,www.emtvalencia.es,Xàtiva - Estació del Nord,Játiva - Estación del Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3732228 39.4683446),yes,yes,yes,bus_stop,Colón - Pascual i Genís,EMT,Empresa Municipal de Transportes de Valencia,platform,2260,yes,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3691847 39.4715054),yes,no,yes,bus_stop,Colón - Porta de la Mar,EMT,Empresa Municipal de Transportes de Valencia,platform,2258,yes,www.emtvalencia.es,Porta de la Mar - Colón,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3782104 39.4685411),yes,yes,yes,bus_stop,Estació del Nord - Sant Pau,EMT,Empresa Municipal de Transportes de Valencia,platform,2312,yes,www.emtvalencia.es,Sant Pau - Institut,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3767852 39.4688234),,,yes,bus_stop,Marqués de Sotelo,EMT,Empresa Municipal de Transportes de Valencia,platform,2279,yes,www.emtvalencia.es,Marqués de Sotelo - Pl. de l'Ajuntament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3758097 39.4700909),yes,yes,yes,bus_stop,Plaça de l'Ajuntament,EMT,Empresa Municipal de Transportes de Valencia,platform,2219,yes,www.emtvalencia.es,Pl. de l'Ajuntament - Barques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3724271 39.4691273),no,no,yes,bus_stop,Roger de Llòria - Colón,EMT,Empresa Municipal de Transportes de Valencia,platform,846,no,www.emtvalencia.es,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3714184 39.4713533),yes,yes,yes,bus_stop,Pintor Sorolla,EMT,Empresa Municipal de Transportes de Valencia,platform,2281,yes,www.emtvalencia.es,Pintor Sorolla - A. Magnànim,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3776438 39.4694277),yes,,yes,bus_stop,Plaça de l'Ajuntament - Periodista Azzati,EMT,Empresa Municipal de Transportes de Valencia,platform,2314,yes,www.emtvalencia.es,Periodista Azatti - Pl. de l'Ajuntament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3692103 39.4720144),yes,no,yes,bus_stop,Palau de Justícia,EMT,Empresa Municipal de Transportes de Valencia,platform,2257,yes,www.emtvalencia.es,Porta de la Mar (impar) - Palau de Justícia,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3698577 39.4715774),,,yes,bus_stop,Cerdà de Tallada - Colón,EMT,Empresa Municipal de Transportes de Valencia,platform,1034,,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3742754 39.470854),no,no,yes,bus_stop,Teatre Principal,EMT,Empresa Municipal de Transportes de Valencia,platform,2014,no,www.emtvalencia.es,Poeta Querol - Barques,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3805249 39.4685317),yes,,yes,bus_stop,Estació del Nord - Guillem de Castro,EMT,Empresa Municipal de Transportes de Valencia,platform,1520,yes,www.emtvalencia.es,Guillem de Castro - Sant Agustí,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3794379 39.4685797),,,yes,bus_stop,Estació del Nord - Sant Agustí,EMT,Empresa Municipal de Transportes de Valencia,platform,2285,,www.emtvalencia.es,Sant Agustí - Xátiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3784071 39.4679461),yes,,yes,bus_stop,Xàtiva,EMT,Empresa Municipal de Transportes de Valencia,platform,2277,yes,www.emtvalencia.es,Xàtiva - Marqués de Sotelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3768649 39.4682001),yes,no,yes,bus_stop,Marqués de Sotelo,EMT,Empresa Municipal de Transportes de Valencia,platform,2278,yes,www.emtvalencia.es,Marqués de Sotelo - Xàtiva,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3827823 39.4700703),,,yes,bus_stop,MUVIM,,,platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3795701 39.4695133),,,yes,bus_stop,Av. de l'Oest (imparell) - Sant Agustí,EMT,Empresa Municipal de Transportes de Valencia,platform,2282,,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3789023 39.4693569),no,no,yes,bus_stop,Sant Vicent Màrtir - Ànimes,EMT,Empresa Municipal de Transportes de Valencia,platform,2210,no,www.emtvalencia.es,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.376839 39.4721221),yes,yes,yes,bus_stop,Llotja - Mercat Central,EMT,Empresa Municipal de Transportes de Valencia,platform,2220,yes,www.emtvalencia.es,Pl. de l'Ajuntament - Mercat Central - Llotja,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3759811 39.4699844),yes,,yes,bus_stop,Plaça de l'Ajuntament - Flors,EMT,Empresa Municipal de Transportes de Valencia,platform,2221,yes,www.emtvalencia.es,Pl. de l'Ajuntament - Correus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3754771 39.4703317),no,no,yes,bus_stop,Barques - Pl. de l'Ajuntament,EMT,Empresa Municipal de Transportes de Valencia,platform,2280,no,www.emtvalencia.es,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3762745 39.4705283),no,,yes,bus_stop,Plaça de l’Ajuntament - Ateneu,EMT,Empresa Municipal de Transportes de Valencia,platform,2403,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3783551 39.4679981),no,,yes,bus_stop,Xàtiva,EMT,Empresa Municipal de Transportes de Valencia,platform,2277,yes,www.emtvalencia.es,Xàtiva - Marqués de Sotelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305601.0,10,administrative,,Sant Francesc,Sant Francesc,,boundary,,ca:Sant Francesc (barri de València),1.6. Sant Francesc,,,
POINT (-0.3808686 39.4751061),no,yes,yes,bus_stop,Carda - Moro Zeit,EMT,Empresa Municipal de Transportes de Valencia,platform,1734,no,www.emtvalencia.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305624.0,10,administrative,,el Mercat,el Mercat,,boundary,,ca:El Mercat,1.5. el Mercat,,,
POINT (-0.3796904 39.4735175),yes,yes,yes,bus_stop,Mercat Central,EMT,Empresa Municipal de Transportes de Valencia,platform,2214,yes,www.emtvalencia.es,Mercat Central - Llotja,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,relation,14305624.0,10,administrative,,el Mercat,el Mercat,,boundary,,ca:El Mercat,1.5. el Mercat,,,
