geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3934686833736928 39.479785824537394),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3934686833736928 39.479785824537394),"(39.479785824537394, -0.39346868337369284)",relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3990279478790227 39.478031917670556),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3990279478790227 39.478031917670556),"(39.478031917670556, -0.3990279478790227)",relation,14727659.0,10,administrative,,Campanar,Campanar,,boundary,Q3393032,ca:Campanar (València),,,,
POINT (-0.3653363975523819 39.49317914825347),park,Parc d'Orriols,Parc d'Orriols,,Parque de Orriols,,,Q11940154,Q11940154,ca:Parc Municipal d'Orriols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3653363975523819 39.49317914825347),"(39.49317914825347, -0.3653363975523819)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3630115072422232 39.4910711173285),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,Paseo de Alfauir - Tramo IV,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3630115072422232 39.4910711173285),"(39.4910711173285, -0.3630115072422232)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3611009955719006 39.49220533569092),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,Paseo de Alfauir - Tramo V,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3611009955719006 39.49220533569092),"(39.49220533569092, -0.36110099557190056)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3590525904300837 39.49342117740213),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,Paseo de Alfauir - Tramo VI,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3590525904300837 39.49342117740213),"(39.49342117740213, -0.3590525904300837)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3604766483622214 39.4899930067402),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3604766483622214 39.4899930067402),"(39.4899930067402, -0.3604766483622214)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3616162 39.48995045000001),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grass,,,,,,,,,,,,,,,,,,,POINT (-0.3616162 39.48995045000001),"(39.48995045000001, -0.36161620000000005)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3641083 39.48740065),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3641083 39.48740065),"(39.48740065, -0.36410830000000005)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.368163481810437 39.49061843705154),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.368163481810437 39.49061843705154),"(39.49061843705154, -0.36816348181043695)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3591769383152809 39.50240305023628),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3591769383152809 39.50240305023628),"(39.50240305023628, -0.3591769383152809)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3674316993736826 39.49363750812882),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3674316993736826 39.49363750812882),"(39.49363750812882, -0.36743169937368264)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3664767138979143 39.4892146602882),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3664767138979143 39.4892146602882),"(39.4892146602882, -0.3664767138979143)",relation,14728077.0,10,administrative,,Sant Llorenç,Sant Llorenç,,boundary,Q9073962,ca:Sant Llorenç (barri de València),,,,
POINT (-0.3789768610415184 39.49441502066157),park,Plaça del Bisbe Laguarda,Plaça del Bisbe Laguarda,,Plaza Obispo Laguarda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3789768610415184 39.49441502066157),"(39.49441502066157, -0.37897686104151845)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.374243797895353 39.49674370967658),park,Plaça del Músic Espí,Plaça del Músic Espí,,Plaza Musico Espí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.374243797895353 39.49674370967658),"(39.49674370967658, -0.37424379789535295)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3815211341693645 39.49310275418675),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3815211341693645 39.49310275418675),"(39.49310275418675, -0.3815211341693645)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3734713424132326 39.49346482218269),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3734713424132326 39.49346482218269),"(39.49346482218269, -0.37347134241323265)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
POINT (-0.3743074151558396 39.49400077381016),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3743074151558396 39.49400077381016),"(39.49400077381016, -0.37430741515583965)",relation,14728078.0,10,administrative,,Torrefiel,Torrefiel,,boundary,Q9089066,ca:Torrefiel,,,,
