geometry,leisure,name_left,name:ca_left,note,name:es_left,operator,operator:type,name:etymology:wikidata,wikidata_left,wikipedia_left,alt_name_left,opening_hours,tourism,addr:city,addr:postcode,addr:street,alt_name:ca_left,alt_name:es,nohousenumber,old_name_left,phone,source_left,wikimedia_commons,dog,smoking,loc_name,access,loc_name:ca,loc_name:es,lit,surface,addr:housenumber,old_name:es,name:sr,place,foot,designation,name:etymology,source:date,natural,garden:type,description,noname,building,fee,parking,landuse,type_left,amenity,centroid,coords,element_right,id_right,admin_level,boundary,source_right,Barrio,name:ca_right,name:es_right,type_right,wikidata_right,wikipedia_right,ref,alt_name_right,old_name_right,alt_name:ca_right
POINT (-0.3818991360907145 39.48709636459745),park,Parc de Marxalenes,Parc de Marxalenes,,,,,Q1770935,Q11940157,es:Parque de Marxalenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3818991360907145 39.48709636459745),"(39.48709636459745, -0.3818991360907145)",relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.3851854638734192 39.48625111931611),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3851854638734192 39.48625111931611),"(39.48625111931611, -0.38518546387341923)",relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.381887409453533 39.48535198053748),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.381887409453533 39.48535198053748),"(39.48535198053748, -0.381887409453533)",relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.3841598003002057 39.48778555956773),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3841598003002057 39.48778555956773),"(39.48778555956773, -0.3841598003002057)",relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.38696715 39.4879934),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.38696715 39.4879934),"(39.4879934, -0.38696715)",relation,14731123.0,10,administrative,,Marxalenes,Marxalenes,,boundary,Q1770935,ca:Marxalenes,,,,
POINT (-0.3563368078000139 39.47646862373004),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3563368078000139 39.47646862373004),"(39.47646862373004, -0.3563368078000139)",relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
POINT (-0.3590193022889505 39.47725652346131),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3590193022889505 39.47725652346131),"(39.47725652346131, -0.35901930228895046)",relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
POINT (-0.3541743734176712 39.47730306188036),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3541743734176712 39.47730306188036),"(39.47730306188036, -0.35417437341767116)",relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
POINT (-0.3532793546521882 39.477930718044504),park,Jardí de Berta Cáceres,Jardí de Berta Cáceres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3532793546521882 39.477930718044504),"(39.477930718044504, -0.35327935465218824)",relation,14731655.0,10,administrative,,Ciutat Universitària,Ciutat Universitària,,boundary,Q8346555,ca:Ciutat Universitària (barri de València),,,,
POINT (-0.3635050755216764 39.470005598068866),park,Jardí del Túria - Tram X,Jardí del Túria - Tram X,,Jardín del Turia - Tramo X,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3635050755216764 39.470005598068866),"(39.470005598068866, -0.3635050755216764)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3651293888825167 39.472021372952796),park,Jardí del Túria - Tram IX,Jardí del Túria - Tram IX,,Jardín del Turia - Tramo IX,,,Q2713406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3651293888825167 39.472021372952796),"(39.472021372952796, -0.3651293888825167)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3562942155970539 39.47069558000446),park,Jardí d'Alfredo Candel,Jardí d'Alfredo Candel,,Jardín de Alfredo Candell,Ajuntament de València,public,,,,,Mo-Su 07:30-20:30,,,,,,,,,,,,,,Parc del Vaixell,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3562942155970539 39.47069558000446),"(39.47069558000446, -0.3562942155970539)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3588873762384721 39.46839176692539),park,"Plaça de l'Atleta José Andrés ""El Roget""",,,"Plaza del Atleta José Andrés ""El Roget""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Primer referente del atletismo valenciano, La vida de José Andrés estuvo muy vinculada al incipiente Valencia FC. Pronto saltaría a la fama ganando las primeras ediciones de la Vuelta a Pie en 1924 y el Campeonato Regional de Campo a Través en 1925",,,,,,,,,,,,POINT (-0.3588873762384721 39.46839176692539),"(39.46839176692539, -0.3588873762384721)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3555821938442058 39.47448316907768),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3555821938442058 39.47448316907768),"(39.47448316907768, -0.3555821938442058)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3566205639767853 39.472368710571054),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3566205639767853 39.472368710571054),"(39.472368710571054, -0.35662056397678527)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3550661370461198 39.473852547705),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3550661370461198 39.473852547705),"(39.473852547705, -0.35506613704611983)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3585699293814529 39.467125709674875),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3585699293814529 39.467125709674875),"(39.467125709674875, -0.3585699293814529)",relation,14731657.0,10,administrative,,Mestalla,Mestalla,,boundary,Q5645611,ca:Mestalla (barri de València),,,,
POINT (-0.3648957480160809 39.47750058725591),park,Jardí de Monforte,Jardí de Monforte,,Jardines de Monforte,Organismo Autónomo Municipal Parques y Jardines Singulares y Escuela Municipal de Jardinería y Paisaje,,,Q2743957,ca:Jardí de Monforte,Hort de Romero,Mar 21-Sep 20 10:30-20:00; Sep 21-Mar 20 10:30-18:00,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3648957480160809 39.47750058725591),"(39.47750058725591, -0.36489574801608093)",relation,14731658.0,10,administrative,,Exposició,Exposició,,boundary,Q10285105,ca:L'Exposició (barri de València),,,,
POINT (-0.3967060287303608 39.45161424262187),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3967060287303608 39.45161424262187),"(39.45161424262187, -0.3967060287303608)",relation,14731861.0,10,administrative,,Favara,Favara,,boundary,Q8960964,ca:Favara (barri de València),,,,
POINT (-0.3929838809870864 39.45758448076005),park,Parque de Fontanars dels Alforins,,,Parque de Fontanares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3929838809870864 39.45758448076005),"(39.45758448076005, -0.3929838809870864)",relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
POINT (-0.3952247171045374 39.45975285582825),park,Plaça de la Safor,Plaça de la Safor,,Plaza de la Safor,,,Q1520549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3952247171045374 39.45975285582825),"(39.45975285582825, -0.39522471710453744)",relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
POINT (-0.3999890301369351 39.456635877554646),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3999890301369351 39.456635877554646),"(39.456635877554646, -0.3999890301369351)",relation,14731862.0,10,administrative,,Safranar,Safranar,,boundary,Q611575,ca:Safranar,,,,
POINT (-0.3985029445410679 39.463052088671084),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3985029445410679 39.463052088671084),"(39.463052088671084, -0.39850294454106794)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4045126105921008 39.46231133557135),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4045126105921008 39.46231133557135),"(39.46231133557135, -0.4045126105921008)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4038940998981408 39.46104612722272),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4038940998981408 39.46104612722272),"(39.46104612722272, -0.40389409989814085)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4031878957177534 39.45992373909723),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4031878957177534 39.45992373909723),"(39.45992373909723, -0.40318789571775343)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4026879819720313 39.45905905429416),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4026879819720313 39.45905905429416),"(39.45905905429416, -0.4026879819720313)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4036081 39.46125766666666),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4036081 39.46125766666666),"(39.46125766666666, -0.4036081)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4021179000000001 39.4623118),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4021179000000001 39.4623118),"(39.4623118, -0.4021179000000001)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4015738532097297 39.46330899425396),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4015738532097297 39.46330899425396),"(39.46330899425396, -0.40157385320972966)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4007909897646754 39.46259247005467),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4007909897646754 39.46259247005467),"(39.46259247005467, -0.4007909897646754)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4003139774812474 39.46107516447378),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4003139774812474 39.46107516447378),"(39.46107516447378, -0.4003139774812474)",relation,14731863.0,10,administrative,,Vara de Quart,Vara de Quart,,boundary,Q5786167,ca:Vara de Quart,,,,
POINT (-0.4049359594682381 39.4529816348454),park,Parc Vell de Sant Isidre,Parc Vell de Sant Isidre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4049359594682381 39.4529816348454),"(39.4529816348454, -0.4049359594682381)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.4017220293175621 39.45292370011752),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4017220293175621 39.45292370011752),"(39.45292370011752, -0.4017220293175621)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.4008689849108016 39.453399996649175),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4008689849108016 39.453399996649175),"(39.453399996649175, -0.4008689849108016)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.401399045045285 39.45429236534288),park,Plaça de Paco Ortí (Versador),Plaça de Paco Ortí (Versador),,Plaza de Paco Ortí (Versador),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.401399045045285 39.45429236534288),"(39.45429236534288, -0.40139904504528495)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.4070240130508457 39.45324103515101),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4070240130508457 39.45324103515101),"(39.45324103515101, -0.40702401305084573)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.4067717918896635 39.45257141624003),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4067717918896635 39.45257141624003),"(39.45257141624003, -0.4067717918896635)",relation,14731864.0,10,administrative,,Sant Isidre,Sant Isidre,San Isidro,boundary,Q9073950,ca:Sant Isidre (barri de València),,,,
POINT (-0.3950400660900776 39.46165260170353),park,Plaça d'Enric Granados,Plaça d'Enric Granados,,Plaza de Enrique Granados,,,Q294225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3950400660900776 39.46165260170353),"(39.46165260170353, -0.39504006609007764)",relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3925466543649064 39.460679741927756),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3925466543649064 39.460679741927756),"(39.460679741927756, -0.3925466543649064)",relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3906268913071457 39.46454216709477),park,Jardín del parque de Chiva,,,,,,Q967818,,,,,,,,,,,,,,,,,,Parque de Chiva,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3906268913071457 39.46454216709477),"(39.46454216709477, -0.3906268913071457)",relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3896823456009098 39.458949532752925),park,Parc de l'Ambulatori,,,,Ajuntament de València,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3896823456009098 39.458949532752925),"(39.458949532752925, -0.38968234560090975)",relation,14731865.0,10,administrative,,Patraix,Patraix,,boundary,Q55224,,,,,
POINT (-0.3941585397730926 39.44557867273666),park,Parc de la Rambleta,Parc de la Rambleta,,Parque de la Rambleta,,,,Q11940177,ca:Parc de la Rambleta (València),,"Mar-Oct: Mo-Su,PH 07:30-20:30; Nov-Feb: Mo-Su,PH 07:30-21:30",,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3941585397730926 39.44557867273666),"(39.44557867273666, -0.39415853977309256)",relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.4012066522509196 39.4509542610201),park,Parc Urbà Jardí de la Vida,Parc Urbà Jardí de la Vida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.4012066522509196 39.4509542610201),"(39.4509542610201, -0.40120665225091956)",relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3876588859505822 39.439201478321564),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3876588859505822 39.439201478321564),"(39.439201478321564, -0.38765888595058223)",relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3903645098030505 39.438897729950845),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3903645098030505 39.438897729950845),"(39.438897729950845, -0.3903645098030505)",relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3853390154830105 39.44588220640166),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3853390154830105 39.44588220640166),"(39.44588220640166, -0.3853390154830105)",relation,14766981.0,10,administrative,,Camí Real,Camí Real,,boundary,Q8261292,ca:Camí Real (barri de València),,,,
POINT (-0.3881916700285118 39.446535665232126),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3881916700285118 39.446535665232126),"(39.446535665232126, -0.3881916700285118)",relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3892687060472473 39.44635287146371),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3892687060472473 39.44635287146371),"(39.44635287146371, -0.3892687060472473)",relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3884239452961821 39.446137843422854),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3884239452961821 39.446137843422854),"(39.446137843422854, -0.38842394529618207)",relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3876331762379026 39.44591053162484),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3876331762379026 39.44591053162484),"(39.44591053162484, -0.38763317623790255)",relation,14766982.0,10,administrative,,Sant Marcel·lí,Sant Marcel·lí,,boundary,Q55231,ca:Sant Marcel·lí (barri de València),,,,
POINT (-0.3893391126102589 39.45109262770683),park,Plaça de l'Escultor Frechina,Plaça de l'Escultor Frechina,,Plaza del Escultor Frechina,,,Q98824763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3893391126102589 39.45109262770683),"(39.45109262770683, -0.38933911261025894)",relation,14766984.0,10,administrative,,l'Hort de Senabre,l'Hort de Senabre,,boundary,Q9018191,ca:L'Hort de Senabre,,,,
POINT (-0.3862287504545411 39.45997612211087),park,Parque de La Estacioneta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3862287504545411 39.45997612211087),"(39.45997612211087, -0.38622875045454114)",relation,14766985.0,10,administrative,,la Raïosa,,,boundary,Q2891373,ca:La Raïosa,,,,
POINT (-0.3855803310856035 39.45449665761298),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3855803310856035 39.45449665761298),"(39.45449665761298, -0.38558033108560347)",relation,14766985.0,10,administrative,,la Raïosa,,,boundary,Q2891373,ca:La Raïosa,,,,
POINT (-0.3847804013859614 39.45614379503587),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3847804013859614 39.45614379503587),"(39.45614379503587, -0.38478040138596137)",relation,14766985.0,10,administrative,,la Raïosa,,,boundary,Q2891373,ca:La Raïosa,,,,
POINT (-0.3582184456629516 39.45643123419474),park,Plaça de les Bandes de Música de la Comunitat Valenciana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3582184456629516 39.45643123419474),"(39.45643123419474, -0.35821844566295163)",relation,14785200.0,10,administrative,,Ciutat de les Arts i de les Ciències,Ciutat de les Arts i de les Ciències,Ciudad de las Artes y las Ciencias,boundary,Q6411880,ca:Ciutat de les Arts i les Ciències (barri de València),,,,
POINT (-0.3572858808505749 39.455061656963274),park,Plaça de Miguel Asins Arbó (compositor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,multipolygon,,POINT (-0.3572858808505749 39.455061656963274),"(39.455061656963274, -0.3572858808505749)",relation,14785200.0,10,administrative,,Ciutat de les Arts i de les Ciències,Ciutat de les Arts i de les Ciències,Ciudad de las Artes y las Ciencias,boundary,Q6411880,ca:Ciutat de les Arts i les Ciències (barri de València),,,,
POINT (-0.335954912155311 39.45188025558072),park,Parc de les Moreres,,,Parque de las Moreras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.335954912155311 39.45188025558072),"(39.45188025558072, -0.335954912155311)",relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
POINT (-0.3387293747419481 39.443326847287274),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3387293747419481 39.443326847287274),"(39.443326847287274, -0.3387293747419481)",relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
POINT (-0.3384966545454986 39.44344908169942),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3384966545454986 39.44344908169942),"(39.44344908169942, -0.33849665454549865)",relation,14785201.0,10,administrative,,la Punta,la Punta,,boundary,Q585354,ca:La Punta (València),,,,
POINT (-0.3650374740512017 39.45534547189271),park,Plaça del Poeta Miguel Hernández,Plaça del Poeta Miguel Hernández,,Plaza Miguel Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3650374740512017 39.45534547189271),"(39.45534547189271, -0.3650374740512017)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3637491612442094 39.45372409731525),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3637491612442094 39.45372409731525),"(39.45372409731525, -0.3637491612442094)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3678406714642701 39.45196314447101),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3678406714642701 39.45196314447101),"(39.45196314447101, -0.36784067146427013)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3705343495979996 39.45063330552952),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3705343495979996 39.45063330552952),"(39.45063330552952, -0.3705343495979996)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3620188714037934 39.45663045950426),park,Plaça del Poeta Badenes,Plaça del poeta Badenes,,Plaza del Poeta Badenes,,,Q3080838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3620188714037934 39.45663045950426),"(39.45663045950426, -0.3620188714037934)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3614042315422549 39.45486836128553),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3614042315422549 39.45486836128553),"(39.45486836128553, -0.36140423154225493)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3687688696177521 39.450024972755365),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3687688696177521 39.450024972755365),"(39.450024972755365, -0.36876886961775207)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3671333032589435 39.45019796354252),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3671333032589435 39.45019796354252),"(39.45019796354252, -0.3671333032589435)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3628914524194254 39.455436590768336),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3628914524194254 39.455436590768336),"(39.455436590768336, -0.3628914524194254)",relation,14785202.0,10,administrative,,Na Rovella,Na Rovella,,boundary,Q9048373,ca:Na Rovella,,,,
POINT (-0.3779524702560635 39.45076112193833),park,Zona Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-0.3779524702560635 39.45076112193833),"(39.45076112193833, -0.37795247025606354)",relation,14785203.0,10,administrative,,Malilla,Malilla,,boundary,Q9027164,ca:Malilla,,,,
